PLAYER_ID,PLAYER_NAME,SEASON_YEAR,TOTAL_MIN,TOTAL_GAMES,AVG_MIN,FGM,FGA,FG_PCT,FGM_PER_GAME,FGA_PER_GAME,FG2M,FG2A,FG2_PCT,FG2M_PER_GAME,FG2A_PER_GAME,FG3M,FG3A,FG3_PCT,FG3M_PER_GAME,FG3A_PER_GAME,eFG_PCT,FTM,FTA,FT_PCT,FTM_PER_GAME,FTA_PER_GAME,OREB,DREB,REB,OREB_PER_GAME,DREB_PER_GAME,REB_PER_GAME,AST,TOV,AST_TO_RATIO,AST_PER_GAME,TOV_PER_GAME,STL,BLK,STL_PER_GAME,BLK_PER_GAME,PF,PF_PER_GAME,PTS,PTS_PER_GAME,PLUS_MINUS,player_type
201167,Arron Afflalo,2007-08 - 2016-17,20152,709,28.423131170662906,2918,6471,0.4509349405037861,4.115655853314528,9.126939351198873,2093,4336,0.4827029520295203,2.9520451339915375,6.115655853314528,825,2135,0.3864168618266979,1.16361071932299,3.011283497884344,0.514680883943749,1358,1647,0.8245294474802671,1.9153737658674188,2.3229901269393514,330,1780,2110,0.465444287729196,2.5105782792665727,2.9760225669957685,1356,831,1.6317689530685922,1.9125528913963328,1.1720733427362482,337,132,0.4753173483779971,0.1861777150916784,1425,2.0098730606488013,8019,11.310296191819464,-651,5
1630534,Ochai Agbaji,2022-23 - 2023-24,2848,137,20.78832116788321,343,819,0.4188034188034188,2.5036496350364965,5.978102189781022,200,380,0.5263157894736842,1.45985401459854,2.7737226277372264,143,439,0.3257403189066059,1.0437956204379562,3.204379562043796,0.5061050061050061,93,125,0.744,0.6788321167883211,0.9124087591240876,117,220,337,0.8540145985401459,1.6058394160583942,2.45985401459854,150,105,1.4285714285714286,1.094890510948905,0.7664233576642335,63,59,0.4598540145985401,0.4306569343065693,216,1.5766423357664234,922,6.7299270072992705,-269,7
200772,Maurice Ager,2006-07 - 2009-10,480,78,6.153846153846154,58,178,0.3258426966292135,0.7435897435897436,2.282051282051282,50,138,0.3623188405797101,0.6410256410256411,1.7692307692307692,8,40,0.2,0.1025641025641025,0.5128205128205128,0.348314606741573,30,53,0.5660377358490566,0.3846153846153846,0.6794871794871795,8,36,44,0.1025641025641025,0.4615384615384615,0.5641025641025641,18,25,0.72,0.2307692307692307,0.3205128205128205,5,6,0.0641025641025641,0.0769230769230769,61,0.782051282051282,154,1.9743589743589745,-121,7
201336,Blake Ahearn,2007-08 - 2010-11,194,15,12.933333333333334,17,63,0.2698412698412698,1.1333333333333333,4.2,5,25,0.2,0.3333333333333333,1.6666666666666667,12,38,0.3157894736842105,0.8,2.533333333333333,0.365079365079365,32,33,0.9696969696969696,2.1333333333333333,2.2,1,19,20,0.0666666666666666,1.2666666666666666,1.3333333333333333,21,17,1.2352941176470589,1.4,1.1333333333333333,7,0,0.4666666666666667,0.0,23,1.5333333333333334,78,5.2,-68,7
201582,Alexis Ajinca,2008-09 - 2016-17,3902,293,13.31740614334471,645,1283,0.5027279812938426,2.2013651877133107,4.378839590443686,633,1241,0.5100725221595488,2.160409556313993,4.235494880546075,12,42,0.2857142857142857,0.0409556313993174,0.1433447098976109,0.5074045206547155,251,315,0.7968253968253968,0.856655290102389,1.075085324232082,346,804,1150,1.180887372013652,2.744027303754266,3.9249146757679183,143,249,0.5742971887550201,0.4880546075085324,0.8498293515358362,102,181,0.3481228668941979,0.6177474402730375,661,2.255972696245734,1553,5.300341296928328,-219,4
202374,Solomon Alabi,2010-11 - 2010-11,61,12,5.083333333333333,3,15,0.2,0.25,1.25,3,15,0.2,0.25,1.25,0,0,0.0,0.0,0.0,0.2,0,2,0.0,0.0,0.1666666666666666,7,7,14,0.5833333333333334,0.5833333333333334,1.1666666666666667,2,3,0.6666666666666666,0.1666666666666666,0.25,2,2,0.1666666666666666,0.1666666666666666,5,0.4166666666666667,6,0.5,-13,7
1630583,Santi Aldama,2021-22 - 2023-24,3664,170,21.55294117647059,547,1225,0.446530612244898,3.2176470588235295,7.205882352941177,341,607,0.5617792421746294,2.0058823529411764,3.570588235294118,206,618,0.3333333333333333,1.2117647058823529,3.635294117647059,0.5306122448979592,182,263,0.6920152091254753,1.0705882352941176,1.5470588235294118,190,620,810,1.1176470588235294,3.647058823529412,4.764705882352941,256,145,1.7655172413793103,1.5058823529411764,0.8529411764705882,94,112,0.5529411764705883,0.6588235294117647,268,1.576470588235294,1482,8.717647058823529,-166,4
202332,Cole Aldrich,2010-11 - 2016-17,3346,318,10.522012578616351,430,810,0.5308641975308642,1.3522012578616351,2.547169811320755,430,810,0.5308641975308642,1.3522012578616351,2.547169811320755,0,0,0.0,0.0,0.0,0.5308641975308642,178,238,0.7478991596638656,0.559748427672956,0.7484276729559748,331,785,1116,1.0408805031446542,2.4685534591194966,3.509433962264151,180,198,0.9090909090909092,0.5660377358490566,0.6226415094339622,135,232,0.4245283018867924,0.7295597484276729,498,1.5660377358490567,1038,3.2641509433962264,-361,4
200746,LaMarcus Aldridge,2006-07 - 2020-21,35185,1029,34.19339164237123,8059,16414,0.4909833069331059,7.831875607385811,15.951409135082605,7846,15750,0.4981587301587301,7.624878522837706,15.306122448979592,213,664,0.3207831325301205,0.2069970845481049,0.6452866861030127,0.4974716705251614,3620,4461,0.811477247253979,3.5179786200194365,4.335276967930029,2703,5775,8478,2.626822157434402,5.612244897959184,8.239067055393585,2034,1599,1.272045028142589,1.9766763848396505,1.553935860058309,744,1140,0.7230320699708455,1.1078717201166182,2520,2.4489795918367347,19951,19.388726919339163,2765,5
201570,Joe Alexander,2008-09 - 2008-09,717,59,12.152542372881356,102,245,0.4163265306122449,1.728813559322034,4.1525423728813555,86,199,0.4321608040201005,1.4576271186440677,3.3728813559322033,16,46,0.3478260869565217,0.2711864406779661,0.7796610169491526,0.4489795918367347,58,83,0.6987951807228916,0.9830508474576272,1.4067796610169492,44,71,115,0.7457627118644068,1.2033898305084745,1.9491525423728813,42,52,0.8076923076923077,0.711864406779661,0.8813559322033898,15,29,0.2542372881355932,0.4915254237288136,107,1.8135593220338984,278,4.711864406779661,-29,7
